file,group,dataset
S0159LH1.ERX1007461.H3K4me1.bwa.GRCh38.20151029.bw,2,4
S0159LH1.ERX1007462.H3K9me3.bwa.GRCh38.20151029.bw,2,6
S0159LH1.ERX1007481.H3K27ac.bwa.GRCh38.20151029.bw,2,1
S0159LH1.ERX1007482.H3K36me3.bwa.GRCh38.20151029.bw,2,3
S0159LH1.ERX1007483.H3K27me3.bwa.GRCh38.20151029.bw,2,2
S0159LH1.ERX1122444.H3K4me3.bwa.GRCh38.20151029.bw,2,5
S0159LH1.ERX1122482.Input.bwa.GRCh38.20151207.bw,2,8
S00X9SH1.ERX712739.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00X9SH1.ERX712740.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00X9SH1.ERX712741.H3K4me1.bwa.GRCh38.20150529.bw,2,4
S00X9SH1.ERX712754.Input.bwa.GRCh38.20150528.bw,2,8
S00X9SH1.ERX712777.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00X9SH1.ERX712778.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00X9SH1.ERX712779.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX1295588.H3K4me1.bwa.GRCh38.20160126.bw,2,4
S00XAQH1.ERX712759.H3K4me3.bwa.GRCh38.20150528.bw,2,5
S00XAQH1.ERX712760.H3K27ac.bwa.GRCh38.20150529.bw,2,1
S00XAQH1.ERX712761.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00XAQH1.ERX712762.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00XAQH1.ERX712763.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00XAQH1.ERX941049.Input.bwa.GRCh38.20150529.bw,2,8
S00W1BH1.ERX712695.H3K27ac.bwa.GRCh38.20150528.bw,2,1
S00W1BH1.ERX712696.H3K36me3.bwa.GRCh38.20150529.bw,2,3
S00W1BH1.ERX712697.H3K4me1.bwa.GRCh38.20150528.bw,2,4
S00W1BH1.ERX712698.H3K9me3.bwa.GRCh38.20150529.bw,2,6
S00W1BH1.ERX712717.H3K4me3.bwa.GRCh38.20150529.bw,2,5
S00W1BH1.ERX712775.H3K27me3.bwa.GRCh38.20150529.bw,2,2
S00W1BH1.ERX943224.Input.bwa.GRCh38.20150529.bw,2,8
S01FJZA1.CPG_methylation_calls.bs_call.GRCh38.20160531.bw,1,7
S01FJZH1.ERX1122577.H3K4me3.bwa.GRCh38.20151029.bw,1,5
S01FJZH1.ERX1122580.H3K27ac.bwa.GRCh38.20151029.bw,1,1
